CLASS,SENTENCES,SNO
N,زندگی اپنے لہو کا نام ہے زندگی ایک آرزو ے خام ہے زندگی حسرت بھری فریاد ہے زندگی گویا کسی یاد ہے سوزش درد جگر ہے ۔۔۔ ,348
N,ایک مشورہ ھے ۔۔۔۔ چندے سے انقلاب تو ممکن نہیں بنی گالا کا کنکشن شاید بحال ھوجائے ۔۔۔۔ یا پھر پختون ڈیزل ھی سے کام چلایے ۔۔۔ ,349
N,کمال کی داستان ہے سنو میں نے جس کے لیے سب کو چھوڑا دیا اس نے مجھے چھوڑ دیا ,350
N,پاکستانی قوم جاگ گئی ھے کہ ڈیزل کی قیمتیں کیوں بڑھ گئی ہیں ,351
N,تو کیا آپ یه کهنا چاهتے هیں که دهشتگردی روکنے کیلئے ضرب عضب آپریشن روکنا هو گا؟ ,352
N,جس دن ہم میں دین کا فہم پیدا ہو جائے گا اس دن سارے مولویوں کو اپنی اپنی دوکانیں بند کر کے بهاگنا پڑ جائے گا! ,353
P,رونا نہیں اے دل مضبوط ہوجا-----پھر اور کوئی تجھے توڑ نہ سکے !!!!!زویہ ,354
P,میٹھی پیا کریں میٹھے ہو جائیں گے :)) ,355
P,کاجو ذیابطیس کے مریضوں کے لئے انتہائی مفید ہے ,356
N,ایم کیو ایم کا سندھ حکومت کے بعد آزاد جموں کشمیر حکومت سے بھی علیحدگی کا اعلان ۔ڈاکٹر فاروق ستار ,357
P,"یہ جو کچھ لوگ،،،، فرشتوں سے بنے پھرتے ہیں میرے ہتھّے کبھی چڑھ جائیں تو اِنساں کر دوں ",358
P,صاف چلی شفاف چلی۔۔۔ تحریکِ انصاف چلی ,359
P,لوگوں سے دھرنے کے لیے چندہ مانگنے والا اپنا 300 کنال کا بنی گالہ کا گھر کیوں نہیں پیج کر دھرنے خرچے پورے کرتا؟ ,360
P,اپ مدعا سمجھے ہی نہیں ,361
N,نیوز سنگدل شخص نے بیوی اور بچے کو فائرنگ کرکے قتل کردیا: : پاکستان ,362
P,استیعفیٰ مانگنے والے چندہ مانگنے پر آگئے ,363
N,لاہور: شہباز شریف نے ۵ ہزار پرائمری سکولز بند کروادئیے ۔ چودھری پرویز الہی ,364
P,گنجو کا فوٹو شوٹ تو هو گیا نا ,365
N,کاش مفتی محمود اس رات صبر کر لیتے اور قوم اتنے بڑے حادثے سے بچ جاتیکاش ڈیزل پیدا نہ ہوتا ,366
N,ہیں ؟؟ کیا ہاتھا پائی پر اتر آئے آپ لوگ :ڈ ,367
P,ریاست خلافت اسلام کی محافظ اور مسلمانوں کے امور کی نگہبان ھوتی ھے اگر ان دونوں فرائض کی ادائیگی کو ترک کرتی ھے تو۔۔۔ ,368
N,کچی شراب پی کر قائم علی شاہ (شہید)ھوگئے پٹواریوں کو اطلاع دی جاتی ہے کہ شاہ جی کی چیتا کو بعد از عصر جلایا جائے گا ,369
P,"الٰہی محبوب کل جہاں کو دل و جگر کا سلام پہنچے نفس نفس کا درود پہنچے ، نظر نظر کا سلام پہنچے صلی اللہ علیہ وسلم ",370
N,لمحہ فکریہ! ,371
P,حضرت علی رضی اللہ عنہ کہتے ہیں رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ’’مہدی ہمارے اہل بیت میں سے ہو گا اور۔۔۔ ,372
N,ڈیزل ہیں تیری آنکھیں دھرنا ہے تیری چیخیں ۔ ,373
N,دوبئی ٹیسٹ کے پہلے دن پاکستان کی آسٹریلیا کے خلاف بیٹنگ مشکلات کا شکار۔۔ ۔۔۔میچ پی ٹی وی سپورٹس پر براہ راست ,374
P,رسم قل جلد آذادی چوک میں ادا کی جاے گی ,375
P,: اللہ تعالیٰ ہمیں باعلم اور باعمل بزرگانِ دین کی صحبت نصیب فرمائیں تاکہ ہماری اخلاقی تربیت ہوسکے اور گناہ کے ارادوں کا وہ علاج کرسکیں ۔ ,376
P,شکل اس کی تھی دلبروں جيسی خو تھی ليکن ستمگروں جيسی اس کے لب تھے سکوت کے دريا اس کی آنکھيں سخنوروں جيسی ,377
N,"جسٹس منصور علی شاہ نے ریمارک؟؟ دیئے ،بتایا جائے عوامی ٹیکسوں سے حاصل ہونے والی رقم کس طرح سیاسی مقاصد کے لئے استعمال کی جا سکتی ہے ",378
P,وادی ہنزہ میں خواتین کے لیے کوہ پیمائی کا اسکول ,379
N,"انٹرنیشنل اسکواش، عامر اطلس ٹائٹل کے حصول سے محروم رہ گئے ",380
P,سلسلہ وار پڑھنے کے لیے ,381
P,"بریکنگ :- دبئی ٹیسٹ، دوسری اننگز، یونس خان کی آسٹریلیا کے خلاف سنچری مکمل بریکنگ :- دبئی ٹیسٹ، یونس خان کی۔۔۔ ",382
P,آسٹریلوی ٹیم پاکستان کے سکور سے اب بھی341 رنز پیچھے ہے ۔ ,383
N,میاں صاحب بھارت کے خلاف بات کیوں نہیں کرتے ؟پٹواری: ہم نے ایٹم بم بنایا۔ ,384
P,نیوز پاکستان عوامی تحریک کے سربراہ طاہر القادری بیرون ملک جائینگے : : : ,385
N,مسلم لیگ کے پرچم میں دفن کرنے سے کیا بندہ ڈائیریکٹ جنت میں جاے گا ؟ ایک جھوٹا آدمی ہاشمی ہاشمی ,386
P,آج میرے مضمون کا عنوان ہے کہ بھائی صرف وہ ہوتے ہیں جنہیں اللہ نے ہمارا بھائی بنایا ہے کچھ لوگوں کو میرا۔۔۔ ,387
P,پاکستان کی جانب سے انضمام الحق کی ٹیسٹ کرکٹ میں 25 سنچریاں ہیں ,388
P,لبرل اس لئے بنتے ہیں کہ یہاں اقلیت میں ہیں اکثریت میں ھوتے ایران عراق شام کی طرح تو عمر عثمان عائشہ نام رکھنے پر لٹکا دیتے ,389
P,پنجاب میں ہونے والے ضمنی الیکشن میں حصہ لیں گے : طاہر القادری - سچ ٹی وی ,390
P,ﺁﺝ ﮐﮯ ﺩﻥ ﻋﺎﺷﻖ ﻧﺒﯽ ﭘﺮ ﻻﺯﻡ ﮨﮯ ﺍﻋﻼﻥ ﮐﺮﯾﮟ ﺍﮮﺑﮭﺎﺭﺕ ﮐﺸﻤﯿﺮ ﮨﻤﺎﺭﺍ ﮐﻞ ﺑﮭﯽ ﺗﮭﺎ ﺍﻭﺭ ﺁﺝ ﺑﮭﯽ ﮨﮯ ,391
P,چندے سے انقلاب لانا تھا تو سیاست میں چھولے کھانے آئے ہو ؟؟؟ ,392
N,امریکا:ویسٹ پام بیچ کے علاقے میں بارش سے نظام زندگی متاثر ,393
N,جھپٹنا پلٹنا۔۔ پلٹ کر جھپٹنا لہو گرم رکھنے کا ھے اک بہانہ ڈاکٹر طاھر القادری نے اسلام آباد کے دھرنے کو پورے ملک۔۔۔ ,394
N,پنجاب: مزید 23 افراد ڈینگی وائرس کا شکار ,395
P,": ساے جتنی ھے ملکیت سب کی ,⁰⁰باقی جو ھے تجاوزات میں ھے ۔ ",396
P,اسپورٹس: پاکستان پھرین ٹیسٹ جی بی اننگ 286/2 تی ڈکلیئر کری آسٹریلیا کی 438 رنسن جو ٹارگیٹ ڈئی چھڈیو۔ ,397
N,زندگی بھی تو پشیماں ہے یہاں لا کے مجھے ڈھونڈتی ہے کوئی حیلہ مرے مر جانے کا۔ ۔ ۔!!! ,398
P,"کور کمیٹی کے اجلاس میں 30 نومبر کے دھرنے سے متعلق بات کی، شیریں مزاری"" ",399
N,اگر کرپشن کے باوجود ترقی ہونی ہوتی تو کب کی ہو چکی ہوتی۔۔۔ ,400
N,"سید تو خود مہاجر ہیں ، خورشید شاہ کیسا سید ہے جسے اپنے سید ہونے پر ندامت اور جاگیردار ہونے پر فخر ہے ؟ ",401
P,لاہور: آئی جی پنجاب مشتاق سکھیرا کی زیر صدارت آر پی او کانفرنس۔ ,402
P,اسلام علیکم الله آپ کو خوش اور سلامت رکھے ۔آمین۔ صبح جمعہ مبارک! ,403
P,"ثمینہ صاحبہ خوش آمدید ،ویلکم،جی آیاں نوں فالو یو بیک ایز ریٹرن محبت ",404
N,اب مزا دينے لگا درد محبت مجھ کو مجھ کو اس درد کی اب کوئی دوا مت دينا ,405
P,کو ئی بات نہیں سب ٹھیک ہوجائیں گے ,406
N,بھائی زرداری صاحب سیاست کے بجائے اپنی کرپشن بچا رہے ہیں ۔ ,407
P,"عربی سیکھو ، اس لیے کہ وہ عقل میں پختگی اور مروّت میں زیادتی پیدا کرتی ھے ۔ سیدنا عمر فاروقؓ ",408
N,"راولپنڈی،اے این ایف کی بے نظیر بھٹو انٹر نیشنل ایئر پورٹ اسلام آباد سمیت مختلف شہروں میں کاروائیاں 6کروڑ روپے سے … ",409
N,"یار کرپشن ایک ایشو ہے ۔ اقربا پروری، فنڈز کا ناجائز استعمال، تھانہ اور پٹواری کلچر بہت چیلنجز ہیں ۔ ",410
P,ﺑﻴﺸﮏ ﺍللہ ﻟﻮﮔﻮﮞ ﭘﺮ ﮐﭽﮫ ﻇﻠﻢ ﻧﮩﻴﮟ ﮐﺮﺗﺎ ﮨﺎﮞ ﻟﻮﮒ ہیﺍپنی ﺟﺎﻧﻮﮞ ﭘﺮ ﻇﻠﻢ ﮐﺮﺗﮯ ﮨﻴﮟ ﺳﻮﺭﮦ ﯾﻮﻧﺲ 44 ,411
N,"بجلی کٹ گیَ ، لہذا چندہ براے َ ڈیزل ہے میرے چندہ ",412
P,عمران خان صاحب کو 30اور 31 اگست کی درمیانی شب یقینا یاد ہو گی جب انکے رفقاءاور کارکنان جلسے کے بعد وہاں سے جا چکے ۔۔۔ ,413
P,آج ایک نئی پیپلز پارٹی کی خبریں گردش کر رہی ہیں ,414
P,"طاہر القادری محرم الحرام میں یورپ اور شمالی امریکا کا دورہ کریں گے ، ذرائع قادری پردیسی ہونے لگاہے ؟* ",415
N,لیاری گینگ وار کے اہم کردار شکیل بادشاہ کا قریبی ساتھی الطاف بابا گرفتارکراچی پولیس نے لياری گینگ وارکے اہم۔۔۔ ,416
N,"حکومت سیاسی قائدین کوتحفظ دینے میں ناکام ہوچکی ہے ،شیریں مزاری"" ",417
N,ہر اک کو اپنی پڑی ہے میری فکر ہی نہیں ,418
P,لاہور: سروسز ہسپتال میں آئی سی یو قائم کردیا گیا۔ ڈی جی ہیلتھ ,419
N,"مولانافضل الرحمان نے جس طرح عورتوں سے متعلق بات کی ہے وہ انتہائی شرمناک ہے ،شیریں مزاری"" ",420
P,کل سنا ھے جیو نیوز په عمران خان کا پرانا انٹرویو چلایا تھا۔ کیا اب جیو معافی مانگنے والی ھے ؟ ویسے فائده بھی جیوکا اسی میں ھے ,421
P,اصل بے نیازی و مالداری دل کی بے نیازی و مالداری ہوتی ھے ۔ سیدنا عمر فاروقؓ ,422
P,کوئی بھی شخص اس غلط فہمی میں نہ رہے ,423
P,صحبت کا بہت اثر ہوتا ہے ۔صحبت کا ملنا بهی بڑے نصیب کی بات ہے ,424
N,"بریکنگ :- سلیم کی گرفتاری کیلئے لیاری اورکورنگی میں چھاپے مارے گئے ،پولیس ذرائع ",425
N,فیصلہ عوام دا پرویز راٹھور حرام دا سیاسی لطیفے ,426
P,پہلے چاند تارے ' ہوا اور خوشبو' اچھے لگتے تھے ! اب صرف ۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔ تم ,427
P,او جی ڈی سی ایل شیئرز اور سکوک :غیر ملکی ادائیگیوں میں بہتری کی امید: اسلام آباد۔۔۔۔۔۔۔۔۔آئن۔۔۔ ,428
P,حضرت امام حسین رضی اللہ عنہ ,429
N,دیکوں دیکوں کون ایا شیر کا شکاری ایا ,430
N,مریم نواز کی یوتھ لون اسکیم کی چیرپرسن تعیناتی کے خلاف درخواست کی ہائیکورٹ میں سماعت ,431
P,السلام علیکم - باغ آزاد کشمیر سے کوئی ساتھی ہوں تو مجھے ان باکس کریں ۔ جزاک اللہ ,432
P,قادری کے اعلان کے بعد دھرنے کے آخری مناظر : چند لمحات پہلے لی گئی کچھ تصاویر ,433
P,"کپتان مصباح الحق کا کہنا ہے کہ وہ اپنی کارکردگی سے بہت مطمئن ہیں ، کینگروز کے خلاف کامیابی کے لیے نئے کھلاڑیوں کو اعتماد دینا ہوگا۔ ",434
N,"چندہ نہ دینے والے جانور ہوتے ہیں (بالوزن جو سیاسی نہیں ہوتا، وہ جانور ہوتاہے )فرمودات فریڈرک عمران اینجلز خان ",435
P,بوٹسوانہ:این خامہ دوسری مرتبہ ملک کے جمہوری صدر منتخب بوٹسوانہ: ڈیموکریٹک پارٹی نے عام انتخابات میں 53 میں سے 33 نشستیں حاصل کیں ,436
N,دیکھیں یہ بات بالکل درست ھے ۔ سڑکیں بلاک کرنا کسی طور درست نہیں ۔ لیکن انکا نام ٹویٹر پر یا حقیقی زندگی میں احترام سے لینا چاھئے ۔ ,437
P,یہ دقیق اور باریک گتھی اپ ہی سلجھائیں ,438
N,"تحریکِ انصاف کے دوست دل کھول کر برا بھلا کہیں ،گالیاں دیں ۔۔۔لیکن وقت آئے گا کہ ثابت ہو جائے گا کہ ہمارا فیصلہ ہم۔۔۔ ",439
N,یہی دل تھا کہ ترستا تھا مراسم کے لئے اب یہی ترکِ تعلق کے بہانے مانگے ۔ ۔۔۔۔ ,440
P,پیار ایک بار ہوگا۔۔۔ بار بار نہیں ہوگا ۔ ,441
N,پیمرا کے ایکشن پر پرزور مذمت کرتے والوں کو آج سانپ سونگھ گیا کیا؟ کراچی کے اکثر علاقوں میں نیوز چینلز کی نشریات بند ,442
N,بڑے بے آبرو ہو کر تیرے کُوچے سے ہم نکلے ۔۔۔ ,443
N,جلسہ ضلع گجرات کی تاریخ کا ناقابل فراموش اور ,444
N,"یورپ، کینیڈا اور امریکہ کے عوام اپنے پیسے اور زیور کی سخت حفاظت کریں ورنہ وہاں بھی چندے سے انقلاب آ سکتا ہے ",445
N,کشمیر کی صورتحال!!! اقوام متحدہ بھی خاموش نہ رہ سکا۔۔۔بھارت کا سخت جواب۔۔۔!!! ,446
P,تاریخ سے سبق سیکھو ,447
N,"دھرنے کے خاتمے پر منفی بیان بازی نہ کی جائے ، وزیر اعظم کی ہدایتاسلام آباد: وزیر اعظم میاں محمد نواز شریف نے ۔۔۔ ",448
N,"بعض لوگوں کے دل ان بے پیندے برتنوں کی مانند ھوتے ھیں جن میں خواہ کتنی ھی محبت،خلوص اور توجہ ڈالی جائے ، وہ خالی۔۔۔ ",449
N,شاہد آفریدی کی آئی ڈی پیزالیون نے نمائشی میچ میں آئی ایس پی آرکو ہرا دیا ,450
P,سندھ میں ہر قوم اپنی شناخت میں برقرار رہی الطاف حسین نے مہاجر نواز شریف نے پنچابی اور پی پی نے سندھی ووٹ بٹورا جس کا نتیجہ سب کے سامنے ہے ,451
N,گو بلو رانی گو سن لو بلاول اب عوام آپ کی کتے جتنا عزت بهی نہیں کرتی ,452
N,بن بلائے آجاتا ہے کبھی سوال نہیں کرتایہ تیرا خیال آخر کیوں میرا خیال نہیں کرتا ,453
P,": تحریک انصاف استعفوں کے موقف پر قائم ہے ،نظام کی تبدیلی چاہتے ہیں ،شیریں مزاری ",454
P,کلاسک ویڈیو گیم کی شکل میں بنایا گیا منفرد کیک!: نیویارک ۔۔۔۔۔۔کیک خواہ سالگرہ کا ہویا کسی اور۔۔۔ ,455
N,"قادری صاحب اور ڈیل ، ہرگز نہیں ۔ ",456
N,ﺍﻧﺴﺎﻥ ﺑﮍﺍ ﮨﯽ ﺳﺨﺖ ﺟﺎﻥ ﮨﮯ ۔ ﺟﺲ ﺑﺎﺕ ﮐﺎ ﺗﺼﻮﺭ ﺑﮭﯽ ﺑﺮﺩﺍﺷﺖ ﻧﮩﯿﮟ ﮐﺮ ﺳﮑﺘﺎ ۔ ﺟﺐ ﻭﮦ ﺣﻘﯿﻘﺖ ﺑﻦ ﮐﺮ ﭨُﻮﭦ ﭘﮍﺗﯽ ﮨﮯ ﺗﻮ ﭼُﭗ ﭼﺎﭖ ﺑﺮﺩﺍﺷﺖ ﮐﺮ ﻟﯿﺘﺎ ﮨﮯ۔۔۔! ,457
N,"ایبولا وائرس سے ہلاکتوں کی تعداد 4 ہزار 877 ہوگئی، ڈبلیو ایچ او ",458
N,ﺯﻧﺠﯿﺮ ﮐﻮﺋﯽ ﻻ ﻣﺮﯼ ﻭﺣﺸﺖ ﮐﮯ ﺑﺮﺍﺑﺮﺍﮎ ﺗﯿﺮﮮ ﮐﮩﮯ ﺳﮯ ﺗﻮ ﭨﮭﮩﺮﻧﮯ ﮐﺎ ﻧﮩﯿﮟ ﻣﯿﮟ ,459
N,دس روپے کے بعد یہ اب کالے بکرے کی سری بھی مانگیں گے ۔چندے سے انقلاب ,460
P,کاش مجھے ڈیزل مولانا بنایا ہوتا یا دھرنے سے قادری کی جگہ مجھے اٹھایا ہوتا ,461
P,اس بطح کے منہ والے سے سوہنا تو میں ہوں :))) کیسے سمجھ آئے ؟ ,462
N,مارڈالے گایہ احساس مجھے اجنبی ہوگیا لہجہ اپنوں کا ,463
P,پاکستان مسلم لیگ ن کا یہ انتخابی ترانہ ,464
N,: ڈھائی سو ارب روپے سگریٹ میں پھونک دیے ۔۔۔۔جو مفت کے پیئے ؟؟ ,465
N,میاں صاحب اس پیغام میں ہے ایک بار ضرور دیکھیں اور شئیر کرنے میں کنجوسی نہ کریں ویڈیو دیکھیں ,466
N,"جو طلب پہ عہدِ وفا کیا، تو وہ آبروئے وفا گئسرِ عام جب ہوئے مدّعی تو ثوابِ صدق و صفا گیا ",467
P,یکم محرم الحرام یوم فاروق اعظم رضی الله عنه ملک بھر میں مذهبی عقیدت و احترام سے منایا جاے گا سیدنا عمر فاروق ,468
N,"سیالکوٹ : پاکستانی فورسز نے بھارتی فائرنگ کا منہ توڑجواب دیا،آئی ایس پی آر ",469
N,لاہور: طاہر القادری کی ماڈل ٹاون مِن واقع رہائش گاہ کے اطراف سیکورٹی الرٹ۔ ,470
N,"دہشتگردی میں جاں بحق، گریڈ ایک سے 16 کے ملازمین کے اہلخانہ کو 30 لاکھ روپے امداد ملے گی- ",471
N,یونین آف جرنلسٹس لاعلمی کی بہترین مثال ہے ,472
P,اتفاق سے میں پرچہ حل کرنے کیلئے جارہاہوں ۔۔۔دو بجے پیپر ہء ,473
P,بالی وڈ اداکارہ ریکھا سپر نانی بن گئیں ,474
P,زاہد‘ یہ میری شوخیِ رندانہ دیکھنا!رحمت کو باتوں باتوں میں بہلا کے پی گیاسر مستیِ ازل مجھے جب یاد آ گئی دنیائے اعتبار کو ٹھکرا کے پی گیا ,475
N,RT: زرداری نے زبان سے چندے کا لفظ منہ سے نکالا تو ٹوٹ پڑے اسکی اپیل پر لوگوں نے سمجھاشاید کہہ رہا ہے چُندے یعنی دیوار میں چُندے ,476
N,دھرنا ختم کرنے پر عوامی تحریک کے کارکنان پھوٹ پھوٹ کر روپڑے ,477
P,تبدیلی آ نہیں رہی تبدیلی آگئی ہے ;) ,478
P,ﺩﺑﺌﯽ ﭨﯿﺴﭧ : ﮐﮭﺎﻧﮯ ﮐﮯ ﻭﻗﻔﮯ ﭘﺮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﮯ 2 ﻭﮐﭧ ﭘﺮ 50 ﺭﻧﺰﺍﻇﮩﺮ ﻋﻠﯽ 24 ﺍﻭﺭ ﯾﻮﻧﺲ ﺧﺎﻥ 14 ﺭﻧﺰ ﭘﺮ ﻧﺎﭦ ﺁﺅﭦ ,479
P,عمران خان کنٹینرسے نکل کراس کی چھت پر پہنچے اورکئی لمحے طاہر القادری کے کنٹینرکی طرف لوگوں کوسامان باندھتا دیکھتے رہے ۔ ,480
P,صرف اسلام آباد میں بیٹھے رہنے سے عوام کا شعور بیدار کیا جا سکتا تو ڈاکٹر طاہر القادری۔۔۔ ,481
P,":تبدیلی ڈول بجانے سے نہیں آتی ، عملی کام کرنے سے آتی ھے ، ",482
N,کہانی آپ اْلجھی ہے کہ اْلجھائی گئی ہے ۔۔۔یہ عقدہ تب کھلے گاجب تماشا ختم ہو گا ,483
N,ایک سے 16 گریڈ کے ملازمین کے انتقال پر خاندان کو 25 لاکھ روپے دیے جائیں گے - ,484
N,خان صاحب کے شرمناک اندازگفتگو کے بارے میں کیاکہیں گی شیریں صاحبہ ,485
N,دماغ کا دلیہ ,486
N,استعفیٰ دینے کے لئے باغی جتنی ہمّت چاہے ,487
N,بتاوُ کیسا لگتا ہے ؟ کسی ویران رستے پر کسی انجان رستے پر کسی کا ساتھ مِل جاناخوشی کے پھول کِھل جانابتاوُ کیسا۔۔۔ ,488
N,چھاپہ مار ٹیم نے ٹاپ ٹریٹمنٹ کے نام سے قائم فیکٹری کو سیل کردیا ,489
N,انل نریندر: بچوں کے جنسی استحصال کے بڑھتے واقعات باعث تشویش مس۔۔۔ ,490
P,"۱/۲ﺍﮔﺮ ﺍﻧﺴﺎﻥ ﺍﭘﻨﮯ ﺍﻭﺭ ﺍﻟﻠﮧ ﮐﮯﺩﺭﻣﯿﺎﻥ ﺗﻌﻠﻖ ﮐﯽ ﺍﺻﻼﺡ ﮐﺮ ﻟﮯﺗﻮ ﻣﺨﻠﻮﻕ ﺳﮯ ﺗﻌﻠﻖ ﮐﮯ ﻣﻌﺎﻣﻠﮧ ﻣﯿﮟ ﺍﻟﻠﮧ ﺍﺱ ﮐﮯ ﻟﯿﮯ ﮐﺎﻓﯽ ﮨﻮﺟﺎﺗﺎ ﮨﮯ، ",491
N,نبہیا چوہدری کی مبینہ خود کشی ذہنی دبائو کا نتیجہ قرار ,492
P,پوتن نے روس اور اسرائیل کے دوستانہ تعلقات میں نیتن یاہو کے بڑے کردار کو بے حد سراہا ,493
N,شرمناک پراپگینڈامیرا بھائی جامع گجرات میں پڑھتا ہے اس نے تو ایسی کوئی رپورٹ نہیں دی اس نے ,494
P,اے اللہ تیری ذات پاک ہے خوبیوں والیاور تیرا نام برکت والااور تیری شان اونچی ہے اور تیرے سوا کوئی معبود نہیں ۔<3 ,495
P,"اگر تحریک انصاف اسمبلیوں سے استعفے دیدے گی تو یہ سیٹیں ن لیگ، مولانا فضل الرحمان، اے این پی، ایم کیوایم کے پاس چلی جائیں گی ",496
P,"رسول اللہ صلی اللہ علیہ وسلم نے سودکھانے والے ، اس کے وکیل، اسکے کاتب اور اس کے گواہ پر لعنت فرمائی ہے اور فرمایا کہ وہ سارے برابر ہیں (مسلم) ",497
N,رو عمران رو ۔۔یہ قوم بے حس۔۔ڈھیٹ ۔۔اور بے غیرت ہو چکی ۔اسے احساس نہیں ہو سکتا کے کرپٹ حکمران انکے ساتھ کیا کرتے ,498
N,"راؤ جانی اس پر روشنی ڈالے گا ، میرے لیول سے اوپر کی گیم ہے یہ ",499
N,مسائل سے آگاہی کا شور تو آپ بهی دل کهول کر بیان کرتے ہیں آپ کیوں کوئ حل نہیں بتاتے ؟یہ ملک صرف سیاست دانوں کا ہی ہے جاوید چوہدری صاحب؟ ,500
P,حضرت عمرؓ نے سعد بن وقاصؓ کے نام فاروقی حکم نامے میں لکھا جومال تقسیم کے بعد بچ جائے اسے قرآن کی تعلیم حاصل کرنے والوں کو دے دینا۔ مشاہیر الاسلام ,501
N,آج ایک پٹواری کہتا اسلام کہتا ہے اگر کوئی گھر سے بھاگ کے غلط کام کر لے تو انکی آپس میں شادی کروا دو۔یہ کونسا اسلام ہے ؟ ,502
N,کام بھی ایک جیسے ہوتے ہیں ,503
N,"کوئی آہٹ، کوئی جنبش، کوئی دستک نہیں ہوتیہمارے شہرِ ویراں میں بڑی فرصت کا موسم ہے ! ",504
N,جب کسی کو یہ اندازہ ہوجائے !!کہ ہم اس کے بغیر ادھورے ہیں وہی لوگ آپ کا مذاق بنا کر آپکو ادھورا چھوڑ جاتے ہیں !!!زویہ ,505
N,میں کب کا چکا ہوں ہوائیں مجھے نہ دو ,506
N,ﻣﺮﯾﻢ ﻧﻮﺍﺯﮐﯽ ﯾﻮﺗﮫ ﻟﻮﻥ ﺍﺳﮑﯿﻢ ﮐﯽ ﭼﯿﺮﭘﺮﺳﻦ ﺗﻌﯿﻨﺎﺗﯽﮐﮯﺧﻼﻑ ﺩﺭﺧﻮﺍﺳﺖ ﮐﯽ ﮨﺎﺋﯿﮑﻮﺭﭦ ﻣﯿﮟ ﺳﻤﺎﻋﺖﻣﺮﯾﻢ ﻧﻮﺍﺯ ﮐﯽ ﺗﻘﺮﺭﯼ ﮐﺲ ﺑﻨﯿﺎﺩ ﭘﺮ ﮐﯽ ﮔﺌﯽ؟ﺟﺴﭩﺲ ﻣﻨﺼﻮﺭ ﻋﻠﯽ ,507
N,قرض اتارو ملک سنوارو میں غریب کی شلوار تک اتر گئی مگر قرض مزید بڑھ گیا۔ ,508
P,اگر وہ تم سے پیار کرتا ہے تو وہ تمھیں کبھی نہیں چھوڑے گا اور کبھی تمھیں نیچا نہیں دیکھائے گا۔ ,509
N,یه لڑکی فاقه کش هوتی تو بدصورت نظر آتی۔ ,510
N,جان ليوا تهيں خواهشيں ورنہوصل سے انتظار اچها تها ,511
N,راولپنڈی فتح جنگ میں وین اور ٹینکر کی ٹکر 2 لوگ فوت 10 زخمی جماعت اھلسنت کی طرف سے کراچی میں حضرت عمررضی کی شھادت کے موقعے پر ریلی نکالی گئی ,512
N,"شکریہ لیکن مت ضرور وج گئی ہے ، اب خان صاحب کو بھی خیال کرنا چاھیے ",513
N,کینیڈا کی پارلیمنٹ میں فائرنگ کی ویڈیو جاری: کینیڈا کی پولیس نے پارلیمنٹ پر حملے کی ویڈیو جاری ۔۔۔ ,514
N,کو جواب دینا چائے اب هر غریب کارکنوں کو جو اپنا سب لوٹا کہ سابت قدم رهے ظالموں سے زیادہ ظلم کیا هے بغیر مشورہ لیے دهرنا ختم کر کہ ,515
N,ہمارے ممبر چچا چنگم کی جانب سے بلاول کی کراچی جلسے میں کی گئی تقریر کی زبردست پیروڈی بھابی ہوں میں بھابی ہوں -۔۔۔ ,516
N,جب زخم ناسور بن جائیں ’ تو زخم لگانے والے کو فراموش کرنا نا ممکن ہوجاتا ہے ۔ یہ بات وہی سمجھ سکتا ہے جو زخم اٹھاتا ہے ۔ ,517
N,تم مرو یا جیو اب میں کیا کر سکتا ہوں ؟ ,518
N,"ﺍﺳﻼﻡ ﺍٓﺑﺎﺩ ﻣﯿﮟ ﻗﺎﺩﺭﯼ ﺩﮬﺮﻧﮯ ﮐﯽ ﺍٓﺧﺮﯼ ﺭﺳﻮﻣﺎﺕ ﺟﺎﺭﯼ ﮨﯿﮟ،ﺍﺱ ﮐﮯ ﺑﻌﺪ ﻗﻞ 23ﺍﮐﺘﻮﺑﺮ ﮐﻮ ﺍﯾﺒﭧ ﺍٓﺑﺎﺩ ﻣﯿﮟ ﮨﻮﮔﺎﺍﻭﺭ ﭘﮭﺮ ﮨﺮ ﺷﮩﺮ ﻣﯿﮟ ﻣﺰﯾﺪ ﺭﺳﻮﻡ ﮨﻮﻧﮕﯽ ۔ ",519
N,"ﺳﻮﺩﮐﮭﺎﻧﮯ ﻭﺍﻟﮯ، ﺍﺱ ﮐﮯ ﻭﮐﯿﻞ، ﺍﺳﮑﮯ ﮐﺎﺗﺐ ﺍﻭﺭ ﺍﺱ ﮐﮯ ﮔﻮﺍﮦ ﭘﺮ ﻟﻌﻨﺖ ﻓﺮﻣﺎﺋﯽ ﮨﮯ ﺍﻭﺭ ﻓﺮﻣﺎﯾﺎ ﮐﮧ ﻭﮦ ﺳﺎﺭﮮ ﺑﺮﺍﺑﺮ ﮨﯿﮟفرمان S A W W ",520
N,کراچی میں تمام نیوز چینل کی بندشایم کیو ایم اور پاکستان مسلم لیگ زندہ بادپاکستان ملک ہے شہنشاہوں کا بدمعاشوں کا ,521
P,سائنسدانوں نے حیرت انگیز ’’طلسماتی چھتری ایجاد کرلی via ,522
